新聞台,#genre#
中視,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv040/index.m3u8
中視,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv040/index.m3u8
公視金獎臺,http://xn--elt51t.azip.dpdns.org:5008/ofiii13/index.m3u8
民視HD,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv155/index.m3u8
民視HD,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv002/index.m3u8
民視旅遊,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv07/index.m3u8
民視旅遊,http://xn--elt51t.azip.dpdns.org:5008/li-litv-ftv07/index.m3u8
臺灣|中視 HD,https://smart.pendy.dpdns.org/Smart.php?id=zhongshihd_twn
臺灣|公視 CTV,https://smart.pendy.dpdns.org/Smart.php?id=ctv18_twn
臺灣|公視2,https://smart.pendy.dpdns.org/Smart.php?id=ctv2_twn
臺灣|民視 HD,https://smart.pendy.dpdns.org/Smart.php?id=ftvhd_taiwan
臺灣|臺視 TTV HD,https://smart.pendy.dpdns.org/Smart.php?id=ttv_taiwan
臺灣|華視 CTS HD,https://smart.pendy.dpdns.org/Smart.php?id=ctshd_twn
臺視HD,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv066/index.m3u8
臺視HD,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv066/index.m3u8
華視,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv041/index.m3u8
華視,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv041/index.m3u8
華視,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv041/index.m3u8
兒童,#genre#
DreamWorks,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live017/index.m3u8
MOMO親子,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live107/index.m3u8
Nick Jr.,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live032/index.m3u8
Nickelodeon,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live105/index.m3u8
US TeenNick,https://omg.pendy.dpdns.org/4wVQA7/625159/140004
兒童頻道|Baby TV,https://smart.pendy.dpdns.org/Smart.php?id=babytv_twn
兒童頻道|Baby TV Eng,https://smart.pendy.dpdns.org/Smart.php?id=Babytv
兒童頻道|Cartoon Network,https://smart.pendy.dpdns.org/Smart.php?id=Cn
兒童頻道|CBeebies,https://smart.pendy.dpdns.org/Smart.php?id=Cbeebies
兒童頻道|Kids TV,https://smart.pendy.dpdns.org/Smart.php?id=KidsTV
兒童頻道|MiaoMi,https://smart.pendy.dpdns.org/Smart.php?id=MiaoMi
兒童頻道|Nick Jr,https://smart.pendy.dpdns.org/Smart.php?id=Nickjr
兒童頻道|Nickelodeon,https://smart.pendy.dpdns.org/Smart.php?id=Nickelodeon
臺灣|東森幼幼 Yoyo TV,https://smart.pendy.dpdns.org/Smart.php?id=yoyo_twn
臺灣|靖天卡通臺,https://smart.pendy.dpdns.org/Smart.php?id=jingtiancartoon_twn
達文西,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv018/index.m3u8
達文西,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv018/index.m3u8
靖天卡通,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv044/index.m3u8
靖天卡通,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv044/index.m3u8
靖洋卡通,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv057/index.m3u8
靖洋卡通,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv057/index.m3u8
龍華卡通,http://xn--elt51t.azip.dpdns.org:5008/li-litv-longturn01/index.m3u8
龍華卡通,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn01/index.m3u8
音樂旅遊生活,#genre#
CA Global Peterborough News (E),https://omg.pendy.dpdns.org/4wVQA7/625159/137681
CA Lifetime,https://omg.pendy.dpdns.org/4wVQA7/625159/57271
CA MTV2 (E),https://omg.pendy.dpdns.org/4wVQA7/625159/57447
CA TLC,https://omg.pendy.dpdns.org/4wVQA7/625159/57290
CA: Lifetime Movie Network,https://omg.pendy.dpdns.org/4wVQA7/625159/57444
CA: MTV,https://omg.pendy.dpdns.org/4wVQA7/625159/57446
CLASSICA古典樂,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv059/index.m3u8
CLASSICA古典樂,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv059/index.m3u8
ELTA生活旅遊,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live120/index.m3u8
ELTV生活英語臺,http://xn--elt51t.azip.dpdns.org:5008/li-litv-longturn20/index.m3u8
ELTV生活英語臺,http://xn--elt51t.azip.dpdns.org:5008/litv-longturn20/index.m3u8
ELTV生活英語臺,http://xn--elt51t.azip.dpdns.org:5008/of-litv-longturn20/index.m3u8
Lifetime,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live029/index.m3u8
LiveABC互動英語頻道,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live030/index.m3u8
Mezzo Live HD,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv083/index.m3u8
Mezzo Live HD,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv083/index.m3u8
MTV Live,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live025/index.m3u8
Pet Club TV,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv110/index.m3u8
UK-Discovery History,https://omg.pendy.dpdns.org/4wVQA7/625159/53694
UK-TLC,https://omg.pendy.dpdns.org/4wVQA7/625159/53681
US Lifetime,https://omg.pendy.dpdns.org/4wVQA7/625159/46714
US Lifetime,https://omg.pendy.dpdns.org/4wVQA7/625159/9275
US Lifetime Movie,https://omg.pendy.dpdns.org/4wVQA7/625159/2208
US TLC (east),https://omg.pendy.dpdns.org/4wVQA7/625159/47703
US TLC (East),https://omg.pendy.dpdns.org/4wVQA7/625159/46691
US TLC East,https://omg.pendy.dpdns.org/4wVQA7/625159/12734
亞洲旅遊,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv076/index.m3u8
亞洲旅遊,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv076/index.m3u8
亞洲旅遊,http://xn--elt51t.azip.dpdns.org:5008/of-4gtv-4gtv076/index.m3u8
印度尼西亞|Lifestyle&amp;Fashion,https://smart.pendy.dpdns.org/Smart.php?id=Lifestyle
紀錄頻道|TLC,https://smart.pendy.dpdns.org/Smart.php?id=Tlc
臺灣|AFC 亞洲旅遊臺,https://smart.pendy.dpdns.org/Smart.php?id=asiatravel_twn
臺灣|EYETV 旅遊,https://smart.pendy.dpdns.org/Smart.php?id=eyetvtravel_twn
臺灣|MTV Live,https://smart.pendy.dpdns.org/Smart.php?id=mtvhd_twn
臺灣|亞洲旅遊 TLC Asia,https://smart.pendy.dpdns.org/Smart.php?id=tlc_twn
臺灣|美食星球,https://smart.pendy.dpdns.org/Smart.php?id=foodplanet_twn
馬來西亞|Astro MTV,https://smart.pendy.dpdns.org/Smart.php?id=AstroMTV
探索,#genre#

影迷數位紀實臺,http://xn--elt51t.azip.dpdns.org:5008/li-litv-ftv15/index.m3u8
影迷數位紀實臺,http://xn--elt51t.azip.dpdns.org:5008/litv-ftv15/index.m3u8
歷史頻道,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live026/index.m3u8
滾動力 Rollor,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live012/index.m3u8
紀錄頻道|Discovery Asia,https://smart.pendy.dpdns.org/Smart.php?id=discoverytwn_twn
紀錄頻道|Discovery HD,https://smart.pendy.dpdns.org/Smart.php?id=discoveryhd_twn
視納華仁紀實頻道,http://xn--elt51t.azip.dpdns.org:5008/4gtv-4gtv013/index.m3u8
視納華仁紀實頻道,http://xn--elt51t.azip.dpdns.org:5008/li-4gtv-4gtv013/index.m3u8
非凡大探索,http://xn--elt51t.azip.dpdns.org:5008/ofiii234/index.m3u8
others,#genre#

三立iNEWS,http://xn--elt51t.azip.dpdns.org:5008/4gtv-live089/index.m3u8
三立iNEWS,http://xn--elt51t.azip.dpdns.org:5008/iNEWS/index.m3u8

