綜合台,#genre#
龍華偶像劇,http://220.134.196.147:8562/http/61.219.99.20%3A8068/hls/11/80/cstv11.m3u8
龍華戲劇,https://cdn8.163189.xyz/live/lhxj/stream.m3u8
龍華戲劇台,http://122.117.71.103:8656/http/61.222.53.250%3A8068/hls/13/80/cstv13.m3u8
龍華戲劇台,http://211.23.114.106:8522/http/61.219.99.20%3A8068/hls/13/80/cstv13.m3u8
龍華戲劇台,http://220.134.196.147:8555/http/61.219.99.20%3A8068/hls/13/80/cstv13.m3u8

兒童,#genre#
CN卡通頻道,http://125.227.210.55:8167/VideoInput/play.ts
GOOD卡通,https://dqhxk7sbp7xog.cloudfront.net/osmflivech45.m3u8
MOMO親子台,http://211.23.114.106:8516/http/61.219.99.20%3A8081/hls/90/80/momo4max.m3u8
MOMO親子台,http://220.134.196.147:8517/http/61.219.99.20%3A8081/hls/90/80/momo4max.m3u8
momo親子台,http://122.117.71.103:8635/http/61.222.53.250%3A8081/hls/90/80/momo4max.m3u8
東森幼幼HD,http://122.117.71.103:8636/http/61.222.53.250%3A8081/hls/63/805/ch09.m3u8
東森幼幼HD,http://211.23.114.106:8551/http/61.219.99.20%3A8081/hls/63/805/ch09.m3u8
東森幼幼HD,http://220.134.196.147:9588/http/61.219.99.20%3A8081/hls/63/805/ch09.m3u8
龍華卡通,https://cdn8.163189.xyz/live/lhkt/stream.m3u8
龍華卡通台,http://122.117.71.103:8637/http/61.222.53.250%3A8068/hls/14/80/cstv14.m3u8
龍華卡通台,http://211.23.114.106:8506/http/61.219.99.20%3A8068/hls/14/80/cstv14.m3u8
龍華卡通台,http://220.134.196.147:8568/http/61.219.99.20%3A8068/hls/14/80/cstv14.m3u8

旅遊探索,#genre#
DISCOVERY,http://122.117.71.103:8627/http/61.222.53.250%3A8081/hls/71/813/ch44.m3u8
DISCOVERY,http://211.23.114.106:9310/http/61.219.99.20%3A8081/hls/71/813/ch44.m3u8
DISCOVERY,http://220.134.196.147:8516/http/61.219.99.20%3A8081/hls/71/813/ch44.m3u8
Discovery 頻道,http://125.227.210.55:8154/VideoInput/play.ts
亞洲旅遊,http://122.117.71.103:8634/http/61.67.128.129%3A8081/hls/76/818/ch61.m3u8
亞洲旅遊,http://211.23.114.106:8512/http/61.219.99.20%3A8081/hls/76/818/ch61.m3u8
亞洲旅遊,http://220.134.196.147:8579/http/61.219.99.20%3A8081/hls/76/818/ch61.m3u8
亞洲旅遊頻道,http://37.27.111.214:8080/live/10/hls.m3u8
動物星球,http://122.117.71.103:8633/http/61.222.53.250%3A8081/hls/70/812/ch37.m3u8
動物星球,http://211.23.114.106:9312/http/61.219.99.20%3A8081/hls/70/812/ch37.m3u8
動物星球,http://220.134.196.147:8540/http/61.219.99.20%3A8081/hls/70/812/ch37.m3u8
動物星球,http://61.221.215.25:8800/hls/57/index.m3u8
探索亞洲,http://61.221.215.25:8800/hls/50/index.m3u8
探索頻道,http://61.221.215.25:8800/hls/1/index.m3u8
旅遊生活,http://122.117.71.103:8628/http/61.222.53.250%3A8081/hls/70/812/ch38.m3u8
旅遊生活,http://211.23.114.106:9311/http/61.219.99.20%3A8081/hls/70/812/ch38.m3u8
旅遊生活,http://220.134.196.147:8557/http/61.219.99.20%3A8081/hls/70/812/ch38.m3u8

